1719,A6M6ES3Z7QNWG,2,0,,2019-11-20 16:02:22,76,419
1720,A1USKRAFG6C9TV,2,0,,2019-11-20 16:16:34,76,419
1721,A1UMPNWW0WHCV7,2,0,,2019-11-20 16:54:27,76,419
1722,A1UMPNWW0WHCV7,4,406,You will get help and answers to questions from a nurse or team member,2019-11-20 16:55:03,76,419
1723,A1UMPNWW0WHCV7,4,418,We want to find out having prostate cancer makes a person feel ,2019-11-20 16:55:51,76,419
1724,A1UMPNWW0WHCV7,4,450,"If you need help and support, we will tell you how you can get it",2019-11-20 16:56:24,76,419
1725,A1UMPNWW0WHCV7,2,232,We will answer all your questions before you decide if you wish to continue with the study,2019-11-20 16:57:39,76,419
1726,A1UMPNWW0WHCV7,2,264,By joining this study you are allowing us to use your data. ,2019-11-20 16:58:27,76,419
1727,A1UMPNWW0WHCV7,2,2100,Information from this study will be kept in NHS records but your name will be removed to protect your privacy. ,2019-11-20 16:59:12,76,419
1728,A1UMPNWW0WHCV7,3,312,Part of the Programme will be workshop that will help men with prostate cancer. ,2019-11-20 17:00:15,76,419
1729,A1UMPNWW0WHCV7,3,319,The research is voluntary and will not exclude you from other medical care. ,2019-11-20 17:00:43,76,419
1730,A18JD2MXWESMG7,2,0,,2019-11-20 17:01:10,76,419
1731,A1UMPNWW0WHCV7,3,346,The research will help to create a useful workshop for others. ,2019-11-20 17:01:12,76,419
1732,A18JD2MXWESMG7,4,406,The nurse or clinical team member will talk through the information sheet with you and answer any questions you have.,2019-11-20 17:03:02,76,419
1733,A18JD2MXWESMG7,4,418,We want to know how a prostrate cancer diagnosis and the treatment affects someone's health and well-being.,2019-11-20 17:04:16,76,419
1734,A18JD2MXWESMG7,4,450,If you are finding any think difficult we provide you with detials on how to get more support.,2019-11-20 17:05:09,76,419
1735,A18JD2MXWESMG7,2,232,"Once you have read the sheet and are happy any questions you have are answered, you will be asked if you want to take part in the study.",2019-11-20 17:06:50,76,419
1736,A18JD2MXWESMG7,2,264,"If you agree to take part in the study, we use your data for the research study.",2019-11-20 17:08:22,76,419
